Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,291.0,1.07,0.33,1.29,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,3 lb bag,237.0,3.99,3.99,3.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,135.0,0.97,0.97,0.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,128.0,2.99,2.99,2.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,267.0,1.06,0.5,1.49,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,353.0,3.66,3.0,3.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,190.0,1.33,1.29,1.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,246.0,2.51,1.99,2.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,634.0,1.06,0.49,1.49,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,534.0,3.54,2.5,3.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,410.0,1.44,1.0,1.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,107.0,0.96,0.68,0.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,116.0,1.0,0.79,1.49,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,3 lb bag,353.0,3.66,3.0,3.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,161.0,1.19,0.88,1.29,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,7.0,1.99,1.99,1.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,15.0,0.99,0.99,0.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,586.0,1.13,0.5,1.49,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,3 lb bag,237.0,3.99,3.99,3.99,
2011-01-07,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,276.0,1.49,1.49,1.49,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,3 lb bag,10.0,2.99,2.99,2.99,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,216.0,0.87,0.49,1.29,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,174.0,1.02,1.0,1.39,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,243.0,0.82,0.49,1.49,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,454.0,1.41,0.88,1.69,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,10.0,2.99,2.99,2.99,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,661.0,0.85,0.59,1.49,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,143.0,3.49,3.49,3.49,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,3 lb bag,10.0,2.99,2.99,2.99,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,233.0,1.11,0.88,1.29,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,per pound,11.0,0.99,0.99,0.99,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,513.0,1.25,0.33,1.49,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,49.0,0.9,0.88,0.99,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,183.0,1.06,1.0,1.68,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,10.0,2.99,2.99,2.99,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,1224.0,1.11,0.69,1.49,
2011-01-14,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,11.0,0.99,0.99,0.99,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,480.0,0.92,0.49,1.29,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,100.0,1.59,0.97,1.79,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,4.0,2.5,2.5,2.5,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,937.0,0.98,0.5,1.29,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,32.0,2.99,2.99,2.99,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,15.0,1.72,1.49,1.99,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,4.0,2.5,2.5,2.5,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,446.0,1.03,0.5,1.49,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,143.0,3.49,3.49,3.49,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,34.0,1.43,0.99,1.99,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,201.0,0.97,0.78,1.0,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,206.0,1.18,0.88,1.49,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,175.0,1.2,0.88,1.27,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,23.0,1.64,1.49,1.99,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,4.0,2.5,2.5,2.5,
2011-01-21,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,414.0,0.91,0.78,1.0,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,386.0,0.78,0.49,1.49,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,83.0,1.71,0.99,1.79,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,16.0,2.5,2.5,2.5,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,469.0,0.68,0.49,1.49,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,309.0,1.36,0.97,1.99,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,16.0,2.5,2.5,2.5,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,853.0,0.97,0.68,1.49,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,45.0,1.15,0.99,1.99,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,250.0,0.97,0.68,0.99,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,3 lb bag,32.0,1.99,1.99,1.99,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,16.0,2.5,2.5,2.5,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,371.0,0.75,0.49,1.49,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,11.0,1.74,1.29,1.99,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,31.0,1.77,1.0,2.5,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,709.0,0.82,0.59,0.99,
2011-01-28,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,8.0,0.99,0.99,0.99,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,201.0,0.77,0.49,0.99,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,7.0,1.49,1.49,1.49,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,38.0,2.0,2.0,2.0,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,457.0,0.85,0.49,1.49,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,74.0,0.9,0.88,1.29,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,38.0,2.0,2.0,2.0,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,737.0,1.3,0.86,1.49,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,16.0,1.58,1.58,1.58,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,18.0,0.99,0.99,0.99,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,per pound,8.0,1.49,1.49,1.49,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,41.0,1.24,0.99,1.49,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,46.0,1.08,0.99,1.49,
2011-02-04,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,105.0,1.06,0.99,1.29,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,114.0,0.77,0.5,1.29,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,11.0,0.99,0.99,0.99,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,674.0,0.96,0.5,1.49,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,128.0,2.99,2.99,2.99,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,11.0,0.99,0.99,0.99,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,596.0,1.38,0.59,1.79,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,128.0,2.99,2.99,2.99,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,90.0,1.5,1.5,1.5,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,48.0,0.93,0.89,0.99,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,397.0,1.03,0.88,1.49,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,18.0,1.29,1.29,1.29,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,571.0,1.1,0.88,1.49,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,17.0,0.99,0.99,0.99,
2011-02-11,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,8.0,0.99,0.99,0.99,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,733.0,0.85,0.49,1.19,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,3 lb bag,32.0,1.99,1.99,1.99,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,100.0,1.63,0.99,1.79,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,19.0,2.5,2.49,2.5,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,530.0,1.11,0.33,1.49,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,182.0,1.41,0.99,1.99,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,4.0,2.49,2.49,2.49,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,758.0,0.94,0.69,1.49,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,38.0,2.49,2.49,2.49,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,34.0,1.47,0.99,1.99,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,116.0,0.83,0.79,0.99,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,4.0,2.49,2.49,2.49,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,17.0,1.18,0.97,1.49,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,8.0,0.99,0.99,0.99,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,7.0,1.99,1.99,1.99,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,4.0,2.49,2.49,2.49,
2011-02-18,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,430.0,0.94,0.79,1.0,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,182.0,0.78,0.5,1.19,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,533.0,3.21,2.99,3.49,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,368.0,0.97,0.49,1.19,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,128.0,2.99,2.99,2.99,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,285.0,1.39,0.97,1.79,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,649.0,3.17,2.99,3.49,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,90.0,0.85,0.77,1.49,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,271.0,3.52,2.99,3.99,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,171.0,1.27,0.97,1.5,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,179.0,0.97,0.88,0.99,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,per pound,19.0,1.25,1.19,1.29,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,649.0,3.17,2.99,3.49,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,430.0,1.2,0.33,1.49,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,10.0,0.88,0.88,0.88,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,143.0,0.97,0.97,0.97,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,649.0,3.17,2.99,3.49,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,574.0,0.97,0.68,1.25,
2011-02-25,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,11.0,1.29,1.29,1.29,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,884.0,1.16,0.79,1.49,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,291.0,1.27,0.99,1.29,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,4.0,2.5,2.5,2.5,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,683.0,0.9,0.37,1.99,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,15.0,1.36,0.99,1.79,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,4.0,2.5,2.5,2.5,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,232.0,1.03,0.5,1.49,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,143.0,3.99,3.99,3.99,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,7.0,1.79,1.79,1.79,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,177.0,0.93,0.69,0.99,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,per pound,8.0,0.99,0.99,0.99,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,4.0,2.5,2.5,2.5,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,367.0,0.8,0.5,1.49,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,7.0,1.79,1.79,1.79,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,16.0,1.48,1.48,1.48,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,15.0,1.63,1.49,1.79,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,137.0,2.0,1.98,2.5,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,537.0,1.23,0.69,1.49,
2011-03-04,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,284.0,1.28,0.99,1.29,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,122.0,0.73,0.49,0.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,46.0,1.1,0.97,1.29,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,226.0,1.27,0.5,1.49,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,128.0,2.69,1.97,2.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,11.0,1.74,1.29,1.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,557.0,1.25,0.78,1.49,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,143.0,3.99,3.99,3.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,34.0,1.47,0.99,1.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,161.0,0.79,0.77,0.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,71.0,0.74,0.33,1.49,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,15.0,1.46,0.99,1.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,3 lb bag,151.0,2.93,1.99,2.98,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,9.0,0.79,0.79,0.79,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,7.0,1.99,1.99,1.99,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,158.0,2.86,1.69,2.98,
2011-03-11,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,225.0,0.82,0.77,0.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,452.0,0.79,0.33,0.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,75.0,1.49,1.49,1.49,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,966.0,1.04,0.5,1.49,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,247.0,1.58,1.29,1.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,216.0,1.04,0.87,1.49,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,143.0,3.99,3.99,3.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,212.0,1.03,0.99,1.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,44.0,0.81,0.69,0.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,470.0,0.93,0.88,1.49,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,8.0,0.99,0.99,0.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,50.0,0.87,0.5,0.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,23.0,1.98,1.98,1.99,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,261.0,2.53,1.99,2.98,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,174.0,1.0,0.99,1.0,
2011-03-18,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,11.0,0.99,0.99,0.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,548.0,0.97,0.58,1.29,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,32.0,0.88,0.88,0.88,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,147.0,2.97,2.5,2.98,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,335.0,0.94,0.5,1.49,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,3 lb bag,38.0,2.5,2.5,2.5,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,107.0,1.46,0.68,1.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,147.0,2.97,2.5,2.98,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,662.0,0.85,0.59,1.58,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,175.0,3.81,2.99,3.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,7.0,1.99,1.99,1.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,161.0,0.92,0.88,0.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GOLDEN DELICIOUS,Y,,per pound,11.0,0.99,0.99,0.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,147.0,2.97,2.5,2.98,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,120.0,0.99,0.88,1.49,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,per pound,19.0,0.99,0.99,0.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,161.0,1.32,0.5,1.69,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,per pound,7.0,1.99,1.99,1.99,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,147.0,2.97,2.5,2.98,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,255.0,0.87,0.5,1.29,
2011-03-25,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,Y,,per pound,11.0,0.99,0.99,0.99,
2011-04-01,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,108.0,0.85,0.5,1.29,
2011-04-01,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,Y,,per pound,131.0,0.97,0.77,1.29,
2011-04-01,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-04-01,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,590.0,1.25,0.49,1.49,
2011-04-01,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,78.0,1.15,0.88,1.99,
2011-04-01,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,143.0,2.98,2.98,2.98,
2011-04-01,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,860.0,1.1,0.49,1.49,
